timestamp_ms,ax,ay,az,label
0,0,80,16384,0
20,39,78,16406,0
40,74,73,16427,0
60,100,66,16445,0
80,116,55,16459,0
100,119,43,16469,0
120,109,28,16473,0
140,86,13,16472,0
160,54,-2,16465,0
180,16,-18,16454,0
200,-22,-33,16437,0
220,-60,-47,16418,0
240,-90,-58,16396,0
260,-111,-68,16375,0
280,-119,-75,16353,0
300,-115,-79,16333,0
320,3900,-1950,16384,1
340,-4489,2244,16815,1
360,4536,-2268,17141,1
380,-3998,1999,17281,1
400,3370,-1685,17202,1
420,-3228,1614,16922,1
440,3704,-1852,16511,1
460,-4359,2179,16069,1
480,4592,-2296,15703,1
500,-4188,2094,15505,1
520,3519,-1760,15521,1
540,-3200,1600,15750,1
560,3524,-1762,16133,1
580,-4194,2097,16577,1
600,4593,-2297,16975,1
620,-4355,2177,17228,1
640,0,80,16384,0
660,39,78,16406,0
680,74,73,16427,0
700,100,66,16445,0
720,116,55,16459,0
740,119,43,16469,0
760,109,28,16473,0
780,86,13,16472,0
800,54,-2,16465,0
820,16,-18,16454,0
840,-22,-33,16437,0
860,-60,-47,16418,0
880,-90,-58,16396,0
900,-111,-68,16375,0
920,-119,-75,16353,0
940,-115,-79,16333,0
960,4489,-2245,16384,1
980,-4536,2268,16815,1
1000,3998,-1999,17141,1
1020,-3370,1685,17281,1
1040,3228,-1614,17202,1
1060,-3704,1852,16922,1
1080,4359,-2180,16511,1
1100,-4592,2296,16069,1
1120,4188,-2094,15703,1
1140,-3519,1759,15505,1
1160,3200,-1600,15521,1
1180,-3524,1762,15750,1
1200,4194,-2097,16133,1
1220,-4593,2296,16577,1
1240,4355,-2178,16975,1
1260,-3698,1849,17228,1
1280,0,80,16384,0
1300,39,78,16406,0
1320,74,73,16427,0
1340,100,66,16445,0
1360,116,55,16459,0
1380,119,43,16469,0
1400,109,28,16473,0
1420,86,13,16472,0
1440,54,-2,16465,0
1460,16,-18,16454,0
1480,-22,-33,16437,0
1500,-60,-47,16418,0
1520,-90,-58,16396,0
1540,-111,-68,16375,0
1560,-119,-75,16353,0
1580,-115,-79,16333,0
1600,4536,-2268,16384,1
1620,-3998,1999,16815,1
1640,3370,-1685,17141,1
1660,-3228,1614,17281,1
1680,3704,-1852,17202,1
1700,-4359,2179,16922,1
1720,4592,-2296,16511,1
1740,-4188,2094,16069,1
1760,3519,-1760,15703,1
1780,-3200,1600,15505,1
1800,3524,-1762,15521,1
1820,-4194,2097,15750,1
1840,4593,-2297,16133,1
1860,-4355,2177,16577,1
1880,3698,-1849,16975,1
1900,-3227,1613,17228,1
1920,0,80,16384,0
1940,39,78,16406,0
1960,74,73,16427,0
1980,100,66,16445,0
2000,116,55,16459,0
2020,119,43,16469,0
2040,109,28,16473,0
2060,86,13,16472,0
2080,54,-2,16465,0
2100,16,-18,16454,0
2120,-22,-33,16437,0
2140,-60,-47,16418,0
2160,-90,-58,16396,0
2180,-111,-68,16375,0
2200,-119,-75,16353,0
2220,-115,-79,16333,0
2240,3998,-1999,16384,1
2260,-3370,1685,16815,1
2280,3228,-1614,17141,1
2300,-3704,1852,17281,1
2320,4359,-2180,17202,1
2340,-4592,2296,16922,1
2360,4188,-2094,16511,1
2380,-3519,1759,16069,1
2400,3200,-1600,15703,1
2420,-3524,1762,15505,1
2440,4194,-2097,15521,1
2460,-4593,2296,15750,1
2480,4355,-2178,16133,1
2500,-3698,1849,16577,1
2520,3227,-1614,16975,1
2540,-3374,1687,17228,1
2560,0,80,16384,0
2580,39,78,16406,0
2600,74,73,16427,0
2620,100,66,16445,0
2640,116,55,16459,0
2660,119,43,16469,0
2680,109,28,16473,0
2700,86,13,16472,0
2720,54,-2,16465,0
2740,16,-18,16454,0
2760,-22,-33,16437,0
2780,-60,-47,16418,0
2800,-90,-58,16396,0
2820,-111,-68,16375,0
2840,-119,-75,16353,0
2860,-115,-79,16333,0
2880,3370,-1685,16384,1
2900,-3228,1614,16815,1
2920,3704,-1852,17141,1
2940,-4359,2179,17281,1
2960,4592,-2296,17202,1
2980,-4188,2094,16922,1
3000,3519,-1760,16511,1
3020,-3200,1600,16069,1
3040,3524,-1762,15703,1
3060,-4194,2097,15505,1
3080,4593,-2297,15521,1
3100,-4355,2177,15750,1
3120,3698,-1849,16133,1
3140,-3227,1613,16577,1
3160,3374,-1687,16975,1
3180,-4004,2002,17228,1
3200,0,80,16384,0
3220,39,78,16406,0
3240,74,73,16427,0
3260,100,66,16445,0
3280,116,55,16459,0
3300,119,43,16469,0
3320,109,28,16473,0
3340,86,13,16472,0
3360,54,-2,16465,0
3380,16,-18,16454,0
3400,-22,-33,16437,0
3420,-60,-47,16418,0
3440,-90,-58,16396,0
3460,-111,-68,16375,0
3480,-119,-75,16353,0
3500,-115,-79,16333,0
3520,3228,-1614,16384,1
3540,-3704,1852,16815,1
3560,4359,-2180,17141,1
3580,-4592,2296,17281,1
3600,4188,-2094,17202,1
3620,-3519,1759,16922,1
3640,3200,-1600,16511,1
3660,-3524,1762,16069,1
3680,4194,-2097,15703,1
3700,-4593,2296,15505,1
3720,4355,-2178,15521,1
3740,-3698,1849,15750,1
3760,3227,-1614,16133,1
3780,-3374,1687,16577,1
3800,4004,-2002,16975,1
3820,-4539,2269,17228,1
3840,0,80,16384,0
3860,39,78,16406,0
3880,74,73,16427,0
3900,100,66,16445,0
3920,116,55,16459,0
3940,119,43,16469,0
3960,109,28,16473,0
3980,86,13,16472,0
4000,54,-2,16465,0
4020,16,-18,16454,0
4040,-22,-33,16437,0
4060,-60,-47,16418,0
4080,-90,-58,16396,0
4100,-111,-68,16375,0
4120,-119,-75,16353,0
4140,-115,-79,16333,0
4160,3704,-1852,16384,1
4180,-4359,2179,16815,1
4200,4592,-2296,17141,1
4220,-4188,2094,17281,1
4240,3519,-1760,17202,1
4260,-3200,1600,16922,1
4280,3524,-1762,16511,1
4300,-4194,2097,16069,1
4320,4593,-2297,15703,1
4340,-4355,2177,15505,1
4360,3698,-1849,15521,1
4380,-3227,1613,15750,1
4400,3374,-1687,16133,1
4420,-4004,2002,16577,1
4440,4539,-2270,16975,1
4460,-4485,2242,17228,1
4480,0,80,16384,0
4500,39,78,16406,0
4520,74,73,16427,0
4540,100,66,16445,0
4560,116,55,16459,0
4580,119,43,16469,0
4600,109,28,16473,0
4620,86,13,16472,0
4640,54,-2,16465,0
4660,16,-18,16454,0
4680,-22,-33,16437,0
4700,-60,-47,16418,0
4720,-90,-58,16396,0
4740,-111,-68,16375,0
4760,-119,-75,16353,0
4780,-115,-79,16333,0
4800,4359,-2180,16384,1
4820,-4592,2296,16815,1
4840,4188,-2094,17141,1
4860,-3519,1759,17281,1
4880,3200,-1600,17202,1
4900,-3524,1762,16922,1
4920,4194,-2097,16511,1
4940,-4593,2296,16069,1
4960,4355,-2178,15703,1
4980,-3698,1849,15505,1
5000,3227,-1614,15521,1
5020,-3374,1687,15750,1
5040,4004,-2002,16133,1
5060,-4539,2269,16577,1
5080,4485,-2243,16975,1
5100,-3893,1946,17228,1
5120,0,80,16384,0
5140,39,78,16406,0
5160,74,73,16427,0
5180,100,66,16445,0
5200,116,55,16459,0
5220,119,43,16469,0
5240,109,28,16473,0
5260,86,13,16472,0
5280,54,-2,16465,0
5300,16,-18,16454,0
5320,-22,-33,16437,0
5340,-60,-47,16418,0
5360,-90,-58,16396,0
5380,-111,-68,16375,0
5400,-119,-75,16353,0
5420,-115,-79,16333,0
5440,4592,-2296,16384,1
5460,-4188,2094,16815,1
5480,3519,-1760,17141,1
5500,-3200,1600,17281,1
5520,3524,-1762,17202,1
5540,-4194,2097,16922,1
5560,4593,-2297,16511,1
5580,-4355,2177,16069,1
5600,3698,-1849,15703,1
5620,-3227,1613,15505,1
5640,3374,-1687,15521,1
5660,-4004,2002,15750,1
5680,4539,-2270,16133,1
5700,-4485,2242,16577,1
5720,3893,-1947,16975,1
5740,-3307,1653,17228,1
5760,0,80,16384,0
5780,39,78,16406,0
5800,74,73,16427,0
5820,100,66,16445,0
5840,116,55,16459,0
5860,119,43,16469,0
5880,109,28,16473,0
5900,86,13,16472,0
5920,54,-2,16465,0
5940,16,-18,16454,0
5960,-22,-33,16437,0
5980,-60,-47,16418,0
6000,-90,-58,16396,0
6020,-111,-68,16375,0
6040,-119,-75,16353,0
6060,-115,-79,16333,0
6080,4188,-2094,16384,1
6100,-3519,1759,16815,1
6120,3200,-1600,17141,1
6140,-3524,1762,17281,1
6160,4194,-2097,17202,1
6180,-4593,2296,16922,1
6200,4355,-2178,16511,1
6220,-3698,1849,16069,1
6240,3227,-1614,15703,1
6260,-3374,1687,15505,1
6280,4004,-2002,15521,1
6300,-4539,2269,15750,1
6320,4485,-2243,16133,1
6340,-3893,1946,16577,1
6360,3307,-1654,16975,1
6380,-3266,1633,17228,1
6400,0,80,16384,0
6420,39,78,16406,0
6440,74,73,16427,0
6460,100,66,16445,0
6480,116,55,16459,0
6500,119,43,16469,0
6520,109,28,16473,0
6540,86,13,16472,0
6560,54,-2,16465,0
6580,16,-18,16454,0
6600,-22,-33,16437,0
6620,-60,-47,16418,0
6640,-90,-58,16396,0
6660,-111,-68,16375,0
6680,-119,-75,16353,0
6700,-115,-79,16333,0
6720,3519,-1760,16384,1
6740,-3200,1600,16815,1
6760,3524,-1762,17141,1
6780,-4194,2097,17281,1
6800,4593,-2297,17202,1
6820,-4355,2177,16922,1
6840,3698,-1849,16511,1
6860,-3227,1613,16069,1
6880,3374,-1687,15703,1
6900,-4004,2002,15505,1
6920,4539,-2270,15521,1
6940,-4485,2242,15750,1
6960,3893,-1947,16133,1
6980,-3307,1653,16577,1
7000,3266,-1633,16975,1
7020,-3807,1903,17228,1
7040,0,80,16384,0
7060,39,78,16406,0
7080,74,73,16427,0
7100,100,66,16445,0
7120,116,55,16459,0
7140,119,43,16469,0
7160,109,28,16473,0
7180,86,13,16472,0
7200,54,-2,16465,0
7220,16,-18,16454,0
7240,-22,-33,16437,0
7260,-60,-47,16418,0
7280,-90,-58,16396,0
7300,-111,-68,16375,0
7320,-119,-75,16353,0
7340,-115,-79,16333,0
7360,3200,-1600,16384,1
7380,-3524,1762,16815,1
7400,4194,-2097,17141,1
7420,-4593,2296,17281,1
7440,4355,-2178,17202,1
7460,-3698,1849,16922,1
7480,3227,-1614,16511,1
7500,-3374,1687,16069,1
7520,4004,-2002,15703,1
7540,-4539,2269,15505,1
7560,4485,-2243,15521,1
7580,-3893,1946,15750,1
7600,3307,-1654,16133,1
7620,-3266,1633,16577,1
7640,3807,-1904,16975,1
7660,-4433,2216,17228,1
7680,0,80,16384,0
7700,39,78,16406,0
7720,74,73,16427,0
7740,100,66,16445,0
7760,116,55,16459,0
7780,119,43,16469,0
7800,109,28,16473,0
7820,86,13,16472,0
7840,54,-2,16465,0
7860,16,-18,16454,0
7880,-22,-33,16437,0
7900,-60,-47,16418,0
7920,-90,-58,16396,0
7940,-111,-68,16375,0
7960,-119,-75,16353,0
7980,-115,-79,16333,0
8000,3524,-1762,16384,1
8020,-4194,2097,16815,1
8040,4593,-2297,17141,1
8060,-4355,2177,17281,1
8080,3698,-1849,17202,1
8100,-3227,1613,16922,1
8120,3374,-1687,16511,1
8140,-4004,2002,16069,1
8160,4539,-2270,15703,1
8180,-4485,2242,15505,1
8200,3893,-1947,15521,1
8220,-3307,1653,15750,1
8240,3266,-1633,16133,1
8260,-3807,1903,16577,1
8280,4433,-2217,16975,1
8300,-4569,2284,17228,1
8320,0,80,16384,0
8340,39,78,16406,0
8360,74,73,16427,0
8380,100,66,16445,0
8400,116,55,16459,0
8420,119,43,16469,0
8440,109,28,16473,0
8460,86,13,16472,0
8480,54,-2,16465,0
8500,16,-18,16454,0
8520,-22,-33,16437,0
8540,-60,-47,16418,0
8560,-90,-58,16396,0
8580,-111,-68,16375,0
8600,-119,-75,16353,0
8620,-115,-79,16333,0
8640,4194,-2097,16384,1
8660,-4593,2296,16815,1
8680,4355,-2178,17141,1
8700,-3698,1849,17281,1
8720,3227,-1614,17202,1
8740,-3374,1687,16922,1
8760,4004,-2002,16511,1
8780,-4539,2269,16069,1
8800,4485,-2243,15703,1
8820,-3893,1946,15505,1
8840,3307,-1654,15521,1
8860,-3266,1633,15750,1
8880,3807,-1904,16133,1
8900,-4433,2216,16577,1
8920,4569,-2285,16975,1
8940,-4089,2044,17228,1
8960,0,80,16384,0
8980,39,78,16406,0
9000,74,73,16427,0
9020,100,66,16445,0
9040,116,55,16459,0
9060,119,43,16469,0
9080,109,28,16473,0
9100,86,13,16472,0
9120,54,-2,16465,0
9140,16,-18,16454,0
9160,-22,-33,16437,0
9180,-60,-47,16418,0
9200,-90,-58,16396,0
9220,-111,-68,16375,0
9240,-119,-75,16353,0
9260,-115,-79,16333,0
9280,4593,-2297,16384,1
9300,-4355,2177,16815,1
9320,3698,-1849,17141,1
9340,-3227,1613,17281,1
9360,3374,-1687,17202,1
9380,-4004,2002,16922,1
9400,4539,-2270,16511,1
9420,-4485,2242,16069,1
9440,3893,-1947,15703,1
9460,-3307,1653,15505,1
9480,3266,-1633,15521,1
9500,-3807,1903,15750,1
9520,4433,-2217,16133,1
9540,-4569,2284,16577,1
9560,4089,-2045,16975,1
9580,-3435,1717,17228,1
9600,0,80,16384,0
9620,39,78,16406,0
9640,74,73,16427,0
9660,100,66,16445,0
9680,116,55,16459,0
9700,119,43,16469,0
9720,109,28,16473,0
9740,86,13,16472,0
9760,54,-2,16465,0
9780,16,-18,16454,0
9800,-22,-33,16437,0
9820,-60,-47,16418,0
9840,-90,-58,16396,0
9860,-111,-68,16375,0
9880,-119,-75,16353,0
9900,-115,-79,16333,0
9920,4355,-2178,16384,1
9940,-3698,1849,16815,1
9960,3227,-1614,17141,1
9980,-3374,1687,17281,1
10000,4004,-2002,17202,1
10020,-4539,2269,16922,1
10040,4485,-2243,16511,1
10060,-3893,1946,16069,1
10080,3307,-1654,15703,1
10100,-3266,1633,15505,1
10120,3807,-1904,15521,1
10140,-4433,2216,15750,1
10160,4569,-2285,16133,1
10180,-4089,2044,16577,1
10200,3435,-1718,16975,1
10220,-3208,1604,17228,1
10240,0,80,16384,0
10260,39,78,16406,0
10280,74,73,16427,0
10300,100,66,16445,0
10320,116,55,16459,0
10340,119,43,16469,0
10360,109,28,16473,0
10380,86,13,16472,0
10400,54,-2,16465,0
10420,16,-18,16454,0
10440,-22,-33,16437,0
10460,-60,-47,16418,0
10480,-90,-58,16396,0
10500,-111,-68,16375,0
10520,-119,-75,16353,0
10540,-115,-79,16333,0
10560,3698,-1849,16384,1
10580,-3227,1613,16815,1
10600,3374,-1687,17141,1
10620,-4004,2002,17281,1
10640,4539,-2270,17202,1
10660,-4485,2242,16922,1
10680,3893,-1947,16511,1
10700,-3307,1653,16069,1
10720,3266,-1633,15703,1
10740,-3807,1903,15505,1
10760,4433,-2217,15521,1
10780,-4569,2284,15750,1
10800,4089,-2045,16133,1
10820,-3435,1717,16577,1
10840,3208,-1604,16975,1
10860,-3617,1808,17228,1
10880,0,80,16384,0
10900,39,78,16406,0
10920,74,73,16427,0
10940,100,66,16445,0
10960,116,55,16459,0
10980,119,43,16469,0
11000,109,28,16473,0
11020,86,13,16472,0
11040,54,-2,16465,0
11060,16,-18,16454,0
11080,-22,-33,16437,0
11100,-60,-47,16418,0
11120,-90,-58,16396,0
11140,-111,-68,16375,0
11160,-119,-75,16353,0
11180,-115,-79,16333,0
11200,3227,-1614,16384,1
11220,-3374,1687,16815,1
11240,4004,-2002,17141,1
11260,-4539,2269,17281,1
11280,4485,-2243,17202,1
11300,-3893,1946,16922,1
11320,3307,-1654,16511,1
11340,-3266,1633,16069,1
11360,3807,-1904,15703,1
11380,-4433,2216,15505,1
11400,4569,-2285,15521,1
11420,-4089,2044,15750,1
11440,3435,-1718,16133,1
11460,-3208,1604,16577,1
11480,3617,-1809,16975,1
11500,-4285,2142,17228,1
11520,0,80,16384,0
