distancia_cm,eco_us,label
0,0,0
0,0,0
0,0,0
0,7,0
0,14,0
0,0,0
0,0,0
0,0,0
0,7,0
0,14,0
0,0,0
0,0,0
0,0,0
0,7,0
0,14,0
1,44,0
1,51,0
1,58,0
1,65,0
1,72,0
2,102,0
2,109,0
2,116,0
2,123,0
2,130,0
3,160,0
3,167,0
3,174,0
3,181,0
3,188,0
4,218,0
4,225,0
4,232,0
4,239,0
4,246,0
5,276,1
5,283,1
5,290,1
5,297,1
5,304,1
6,334,1
6,341,1
6,348,1
6,355,1
6,362,1
7,392,1
7,399,1
7,406,1
7,413,1
7,420,1
8,450,1
8,457,1
8,464,1
8,471,1
8,478,1
9,508,1
9,515,1
9,522,1
9,529,1
9,536,1
10,566,1
10,573,1
10,580,1
10,587,1
10,594,1
11,624,1
11,631,1
11,638,1
11,645,1
11,652,1
12,682,1
12,689,1
12,696,1
12,703,1
12,710,1
13,740,1
13,747,1
13,754,1
13,761,1
13,768,1
14,798,1
14,805,1
14,812,1
14,819,1
14,826,1
15,856,1
15,863,1
15,870,1
15,877,1
15,884,1
16,914,1
16,921,1
16,928,1
16,935,1
16,942,1
17,972,1
17,979,1
17,986,1
17,993,1
17,1000,1
18,1030,1
18,1037,1
18,1044,1
18,1051,1
18,1058,1
19,1088,1
19,1095,1
19,1102,1
19,1109,1
19,1116,1
20,1146,1
20,1153,1
20,1160,1
20,1167,1
20,1174,1
21,1204,1
21,1211,1
21,1218,1
21,1225,1
21,1232,1
22,1262,1
22,1269,1
22,1276,1
22,1283,1
22,1290,1
23,1320,1
23,1327,1
23,1334,1
23,1341,1
23,1348,1
24,1378,1
24,1385,1
24,1392,1
24,1399,1
24,1406,1
25,1436,1
25,1443,1
25,1450,1
25,1457,1
25,1464,1
26,1494,1
26,1501,1
26,1508,1
26,1515,1
26,1522,1
27,1552,1
27,1559,1
27,1566,1
27,1573,1
27,1580,1
28,1610,1
28,1617,1
28,1624,1
28,1631,1
28,1638,1
29,1668,1
29,1675,1
29,1682,1
29,1689,1
29,1696,1
30,1726,1
30,1733,1
30,1740,1
30,1747,1
30,1754,1
31,1784,1
31,1791,1
31,1798,1
31,1805,1
31,1812,1
32,1842,1
